sample	unit	library	flowcell	platform	lane	sample_id	barcode	fq1	fq2	kb1	kb2
s0001	1	pop_trout_lib	pop_trout_flow	ILLUMINA	2	M018534_6	M018534	data/M018534_M178_1C_S83_L002_R1_001.fastq.gz	data/M018534_M178_1C_S83_L002_R2_001.fastq.gz	1363920	1465320
s0002	1	pop_trout_lib	pop_trout_flow	ILLUMINA	2	M019404_6	M019404	data/M019404_M187_2A_S91_L002_R1_001.fastq.gz	data/M019404_M187_2A_S91_L002_R2_001.fastq.gz	2454980	2599420
s0003	1	pop_trout_lib	pop_trout_flow	ILLUMINA	2	M027822_6	M027822	data/M027822_M275_3C_S90_L002_R1_001.fastq.gz	data/M027822_M275_3C_S90_L002_R2_001.fastq.gz	1659610	1743650
s0004	1	pop_trout_lib	pop_trout_flow	ILLUMINA	2	M065405_6	M065405	data/M065405_M667_9A_S92_L002_R1_001.fastq.gz	data/M065405_M667_9A_S92_L002_R2_001.fastq.gz	2482730	2639510
s0005	1	pop_trout_lib	pop_trout_flow	ILLUMINA	2	M077101_6	M077101	data/M077101_M779_8H_S84_L002_R1_001.fastq.gz	data/M077101_M779_8H_S84_L002_R2_001.fastq.gz	1647800	1793900
s0006	1	pop_trout_lib	pop_trout_flow	ILLUMINA	2	M079916_6	M079916	data/M079916_M809_10H_S85_L002_R1_001.fastq.gz	data/M079916_M809_10H_S85_L002_R2_001.fastq.gz	1537090	1661060
s0007	1	pop_trout_lib	pop_trout_flow	ILLUMINA	2	M086632_6	M086632	data/M086632_M879_12E_S86_L002_R1_001.fastq.gz	data/M086632_M879_12E_S86_L002_R2_001.fastq.gz	1373110	1480090
s0008	1	pop_trout_lib	pop_trout_flow	ILLUMINA	2	M098246_6	M098246	data/M098246_M1000_12C_S87_L002_R1_001.fastq.gz	data/M098246_M1000_12C_S87_L002_R2_001.fastq.gz	1109110	1188190
s0009	1	pop_trout_lib	pop_trout_flow	ILLUMINA	2	M132778_6	M132778	data/M132778_M1362_2E_S89_L002_R1_001.fastq.gz	data/M132778_M1362_2E_S89_L002_R2_001.fastq.gz	1664560	1747400
s0010	1	pop_trout_lib	pop_trout_flow	ILLUMINA	2	M132831_6	M132831	data/M132831_M1362_2D_S47_L002_R1_001.fastq.gz	data/M132831_M1362_2D_S47_L002_R2_001.fastq.gz	7646540	7963760
